Price,Close,High,Low,Open,Volume,rsi,macd,macd_signal,ema_20,ema_50,atr,future_close,return_pct,target
2025-05-02 04:30:00+00:00,24520.69921875,24588.650390625,24520.69921875,24571.19921875,0.0,63.64224642926724,42.87161846593881,31.59363994857403,24363.89306779456,24286.120869702838,74.5709998252366,24432.0,-0.0036173201244675455,0
2025-05-02 05:00:00+00:00,24432.0,24531.150390625,24410.44921875,24521.349609375,0.0,55.98097014041012,43.08142001514716,33.891195961888656,24370.37944229032,24291.841619910567,77.86601211450541,24387.30078125,-0.0018295358034544859,0
2025-05-02 05:30:00+00:00,24387.30078125,24445.30078125,24371.19921875,24431.69921875,0.0,52.547950951343765,39.1890884509703,34.95077445970499,24371.99099838172,24295.58511643368,77.59712285632645,24354.69921875,-0.0013368253745025148,0
2025-05-02 06:00:00+00:00,24354.69921875,24387.94921875,24319.75,24387.25,0.0,50.133136041055565,33.09224718614496,34.57906900499299,24370.34416222632,24297.90331652452,76.92584399158885,24242.75,-0.004596616765597887,0
2025-05-02 06:30:00+00:00,24242.75,24355.80078125,24239.30078125,24354.599609375,0.0,42.85103480161866,19.007978064859344,31.464850816966266,24358.19233725238,24295.7404413667,79.75256942076108,24282.94921875,0.0016581954914355837,2
2025-05-02 07:00:00+00:00,24282.94921875,24310.849609375,24241.0,24241.849609375,0.0,45.89042985910488,10.963454430631828,27.364571539699377,24351.02632596644,24295.238824793498,79.04521513177815,24364.80078125,0.0033707422340939785,2
2025-05-02 07:30:00+00:00,24364.80078125,24368.849609375,24266.19921875,24282.849609375,0.0,51.54164095301079,11.065294695210468,24.104716170801595,24352.338178850587,24297.96674465453,80.73129909557971,24378.80078125,0.0005745994036927952,1
2025-05-02 08:00:00+00:00,24378.80078125,24412.19921875,24363.099609375,24364.75,0.0,52.45627300089404,12.135792968645546,21.710931530370388,24354.85842669815,24301.136706873964,78.47189268696687,24306.25,-0.0029759782649276,0
2025-05-02 08:30:00+00:00,24306.25,24400.650390625,24304.599609375,24378.5,0.0,47.45731367058148,7.048676097765565,18.778480443849425,24350.2290527269,24301.337228173023,79.72752758432638,24373.94921875,0.002785259706865518,2
2025-05-02 09:00:00+00:00,24373.94921875,24381.80078125,24286.900390625,24306.75,0.0,52.04932686944527,8.383223907214415,16.699429136522422,24352.48811615767,24304.18475721526,80.81130351580306,24313.650390625,-0.0024739047244184084,0
2025-05-02 09:30:00+00:00,24313.650390625,24397.75,24309.849609375,24373.400390625,0.0,48.023504553666086,4.523111555274227,14.264165620272784,24348.78928515456,24304.555958525445,81.3176668807457,24503.650390625,0.00781454026637075,2
2025-05-05 04:00:00+00:00,24503.650390625,24505.44921875,24403.099609375,24442.25,0.0,58.829308020236255,16.603956731902144,14.732123842598655,24363.537961866023,24312.363583313665,89.20917839819244,24479.55078125,-0.0009835109867638503,0
2025-05-05 04:30:00+00:00,24479.55078125,24510.599609375,24464.0,24504.19921875,0.0,57.20479356811245,23.95731153003362,16.577161380085652,24374.58680180736,24318.91994401705,86.16563775367868,24471.099609375,-0.00034523394446736073,1
2025-05-05 05:00:00+00:00,24471.099609375,24526.19921875,24460.44921875,24480.19921875,0.0,56.61439092506971,28.77130158948421,19.015989421965365,24383.778497766183,24324.887774031085,84.7073779141302,24465.349609375,-0.00023497105123127145,1
2025-05-05 05:30:00+00:00,24465.349609375,24495.900390625,24459.650390625,24472.0,0.0,56.18947166875441,31.75637868347621,21.564067274267536,24391.54717506226,24330.396081299477,81.24613663454947,24445.400390625,-0.0008154070580849398,1
2025-05-05 06:00:00+00:00,24445.400390625,24481.599609375,24414.44921875,24465.5,0.0,54.65674034862317,32.14182757553499,23.67961933452103,24396.676052734903,24334.9060542142,80.23929763386737,24457.349609375,0.0004888125601977301,1
2025-05-05 06:30:00+00:00,24457.349609375,24459.75,24430.0,24444.900390625,0.0,55.44079585880277,33.030742846236535,25.54984403686413,24402.454486700623,24339.70776225972,76.63291923144827,24474.30078125,0.00069309112171755,1
2025-05-05 07:00:00+00:00,24474.30078125,24475.94921875,24441.69921875,24457.400390625,0.0,56.58760904586107,34.70299794753373,27.380474818998053,24409.296990943425,24344.985919867184,73.6055678577734,24454.69921875,-0.0008009038817982063,1
2025-05-05 07:30:00+00:00,24454.69921875,24477.0,24434.05078125,24475.150390625,0.0,54.830286756153285,34.05403615569958,28.71518708633836,24413.62101263929,24349.288402176317,71.41582863578958,24482.599609375,0.00114090099311498,2
2025-05-05 08:00:00+00:00,24482.599609375,24492.900390625,24450.849609375,24453.69921875,0.0,56.88279517693558,35.383182309898984,30.048786131050484,24420.1904028046,24354.51629265469,69.31832525109033,24464.349609375,-0.0007454273766341225,1
2025-05-05 08:30:00+00:00,24464.349609375,24490.349609375,24455.0,24482.75,0.0,55.11849596223829,34.56546852974134,30.952122610788656,24424.396041525582,24358.82348154568,66.89198840279816,24471.150390625,0.0002779874126469264,1
2025-05-05 09:00:00+00:00,24471.150390625,24492.150390625,24464.69921875,24465.349609375,0.0,55.67027722333528,34.07341357629048,31.576380803889023,24428.848836677917,24363.228458372323,64.09975932045543,24459.5,-0.0004760867568148048,1
2025-05-05 09:30:00+00:00,24459.5,24475.19921875,24442.150390625,24471.099609375,0.0,54.43561254468318,32.37022353639259,31.73514935038974,24431.76799508954,24367.00381294596,61.88183566363718,24391.650390625,-0.0027739573325292833,0
2025-05-06 04:00:00+00:00,24391.650390625,24477.05078125,24388.900390625,24433.099609375,0.0,47.788398486329605,25.254419497596245,30.439003379831043,24427.947270854824,24367.970345403963,63.75816101802024,24385.80078125,-0.00023982015490220022,1
2025-05-06 04:30:00+00:00,24385.80078125,24414.349609375,24369.19921875,24391.0,0.0,47.25266712003511,18.92492419514747,28.13618754289433,24423.93331946389,24368.66957818224,62.429034561375936,24403.05078125,0.0007073788617703853,1
2025-05-06 05:00:00+00:00,24403.05078125,24406.150390625,24375.5,24385.94921875,0.0,49.06600710650457,15.126317628324614,25.534213559980387,24421.944506300664,24370.017860655484,60.15913142306336,24371.75,-0.001282658530303508,0
2025-05-06 05:30:00+00:00,24371.75,24405.25,24366.900390625,24403.55078125,0.0,45.97732511400988,9.480893265394116,22.32354950106313,24417.16407712917,24370.0857876886,58.60130841963026,24378.44921875,0.00027487639377558036,1
2025-05-06 06:00:00+00:00,24378.44921875,24393.30078125,24356.94921875,24372.150390625,0.0,46.74994556532599,5.484206234428712,18.95568084773625,24413.47694775973,24370.413765377285,57.01204085394239,24393.44921875,0.0006152975468375229,1
2025-05-06 06:30:00+00:00,24393.44921875,24402.05078125,24372.25,24377.75,0.0,48.52510501359186,3.486981851372548,15.86194104846351,24411.56954499689,24371.31711648994,55.06837945366079,24378.349609375,-0.0006190026363058858,1
2025-05-06 07:00:00+00:00,24378.349609375,24398.55078125,24372.94921875,24392.94921875,0.0,46.832619730636296,0.6779399845763692,12.82514083568608,24408.40574160433,24371.59290052465,52.96360681411359,24389.19921875,0.00044505102063298194,1
